Чек-лист и результаты выполнения тестов: тестирование вёрстки,,,,
,,,,
№,Описание проверки,Статус Окружение 1,Статус Окружение 2,Ссылка на баг-репорт
53,"У правой границы поля ""Способ оплаты"" за текстом ""Добавить"" находятся пиктограмма банковской карты и черная стрелка, направленная вправо",PASSED,PASSED,
54,"После успешного добавления карты ""Способ оплаты"" подписано текстом черного цвета ""Способ оплаты"" с выравниванием по левому краю, текст серого цвета ""Карта"" и пиктограмма банковской карты с выравниванием по правому краю ",PASSED,PASSED,
"Панель ""Требования к заказу""",,,,
55,"Панель ""Требования к заказу"" в виде выпадающего списка, панель подписана текстом ""Требования к заказу""",PASSED,PASSED,
56,"Панель ""Требования к заказу"" свернута, если выбран тариф по умолчанию - ""Повседневный""",FAILED,FAILED,https://tracker.yandex.ru/BUG-496075
57,"При выборе тарифа ""Роскошный"" панель ""Требования к заказу"" автоматически раскрывается",PASSED,PASSED,
58,"При возвращении к тарифу ""Повседневный"" панель ""Требования к заказу"" автоматически сворачивается",FAILED,FAILED,https://tracker.yandex.ru/BUG-502334
"Панель ""Требования к заказу"" для тарифа ""Роскошный""",,,,
59,"Первый пункт панели ""Требования к заказу"" - ""1. Светомузыка""",FAILED,FAILED,https://tracker.yandex.ru/BUG-496164
60,Пункт Светомузыка представлен в виде чек-бокса,PASSED,PASSED,
61,По умолчанию пункт Светомузыка не выбран,PASSED,PASSED,
62,"Опцию Светомузыка можно выбрать, кликнув по переключателю, отменить выбор можно повторно кликнув по этому же переключателю",PASSED,PASSED,
63,"Второй пункт панели ""Требованию к заказу"" - ""2. Развлечься""",FAILED,FAILED,https://tracker.yandex.ru/BUG-496210
64,Пункт Развлечься расположен ниже пункта Светомузыка,PASSED,PASSED,
65,Пункт Развлечься представлен в виде радиокнопки ,FAILED,FAILED,https://tracker.yandex.ru/BUG-496262
66,"Опции  пункта ""Развлечься"" : 1. Шампанское для пассажиров
                                             2. Вино для пассажиров",FAILED,FAILED,https://tracker.yandex.ru/BUG-496292
67,"Третий пункт панели ""Требованию к заказу"" - ""3. Очки для крутоты""",FAILED,FAILED,https://tracker.yandex.ru/BUG-496311
68,"Пункт ""Очки для крутоты "" представлен в виде счетчика",PASSED,PASSED,
"Кнопка ""Забронировать""",,,,
69,"Кнопка ""Забронировать"" закреплена в левом нижнем углу экрана, текст кнопки белого цвета, кнопка - синего",PASSED,PASSED,
70,"Кнопка ""Забронировать"" синего цвета, текст внури кнопки - белого",PASSED,PASSED,
"Всплывающее окно ""Машина забронирована""",,,,
71,"Всплывающее окно ""Машина забронирована"" с белым фоном и со скругленными углами",PASSED,PASSED,
72,"Всплывающее окно ""Машина забронирована"" отображается по центру экрана",PASSED,PASSED,
73,"Вверху окна ""Машина забронирована"" текст заглавия окна - ""Машина забронирована""",PASSED,PASSED,
74,"Текст заглавия с выравниванием по левому краю, цвет текста - черный",PASSED,PASSED,
75,"Ниже заглавия в окне ""Машина забронирована"" указана информация о времени бесплатного ожидания",PASSED,PASSED,
76,"Текстовое содрежимое строки с информацей о времени - ""Бесплатное ожидание"" с выравниванием по левому краю, ЧЧ:ММ (время ожидания) с выравниванием по правому краю",PASSED,PASSED,
77,Цвет строки с информацией о времени ождания - черный,PASSED,PASSED,
78,Ниже строки информации о времени ожидания находится блок с информацией о машине,PASSED,PASSED,
79,Строка с информацией о времени ожидания и блок информации о машине разделены серой линией,PASSED,PASSED,
80,Вверху блока информации о машине - марка машины и ее регистрационный госномер,FAILED,FAILED,https://tracker.yandex.ru/BUG-496579
81,"Текст информации о машине выровнян по центру, цвет текста - черный",PASSED,PASSED,
82,Под информацией о машине изображение машины,PASSED,PASSED,
83,Ниже блока с информацие о машине находится кнопка отмены бронирования,PASSED,PASSED,
84,Блок информации и кнопка отмены раделены серой линией,PASSED,PASSED,
85,"Кнопка отмены - серая с черным диагональным крестиком, под кнопкой текст ""Отменить"" серого цвета",PASSED,PASSED,
86,Кнопка отмены выровнена по центру по горизонтали,PASSED,PASSED,
87,Ниже кнопки отмены находится информация об адресе машины,PASSED,PASSED,
88,Кнопка отмены и ифромация об адресе машины разделены серой линией,PASSED,PASSED,
89,В поле информации адреса машины слева находится голубая точка,PASSED,PASSED,
90,Текстовое содрежимое строки с информацей об адресе машины - адрес машины с выравниванием по левому краю и текстом черного цвета,PASSED,PASSED,
91,"Ниже адреса машины текст ""Адрес машины"" серого цвета с выравниванием по левому краю",PASSED,PASSED,
92,Ниже информации об адресе машины находится блок с допонительной информацией,PASSED,PASSED,
93,Информация об адресе машины и блок с дополнительной информацией разделены серой линией,FAILED,FAILED,https://tracker.yandex.ru/BUG-496627
94,"В блоке с доплнительной информацией у левого края окна символ i в кружке, цвет - черный",PASSED,PASSED,
95,"Текстовое содержание блока с допоолнительной информацией - ""Ещё про поездку""",FAILED,FAILED,https://tracker.yandex.ru/BUG-496647
96,"Текстовое содержание блока с подолнительной информацией выровнено по левому краю, цвет - черный",PASSED,PASSED,
97,"Ниже текста ""Ещё про поездку"" информация о стоимости",PASSED,PASSED,
98,"Текст информации о стоимости выровнен по левому краю, цвет - серый",PASSED,PASSED,
"Всплывающее окно ""Вы уверены, что хотите отменить поездку?""",,,,
99,"Всплывающее окно «Вы уверены, что хотите отменить поездку?» с белым фоном и со скпугленными углами",BLOCKED,BLOCKED,невозможно выполнить из-за бага https://tracker.yandex.ru/BUG-498681
100,"Всплывающее окно «Вы уверены, что хотите отменить поездку?» отображается о центру экрана",BLOCKED,BLOCKED,невозможно выполнить из-за бага https://tracker.yandex.ru/BUG-498681
101,"Текстовое содержание окна - «Вы уверены, что хотите отменить поездку?» расположено в верхней части окна, выравниевание по горизонтали по центру, цвет текста - черный",BLOCKED,BLOCKED,невозможно выполнить из-за бага https://tracker.yandex.ru/BUG-498681
